date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:27	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63d7e5b3-3fa4519c8b7f9799;gz%22	https://narisareehtml.vipodhasolution.com/robots.txt		(from )
22:09:27	189381/189381	---M-Z	200	added ('OK')	text/html	etag:%222e3c5-649eb606-56c26cdc7970f918;gz%22	https://narisareehtml.vipodhasolution.com/	D:/WTF/YASHU/narisareehtml.vipodhasolution.com/index.html	(from )
22:09:27	14531/14531	---M--	200	added ('OK')	image/png	etag:%2238c3-649974a2-5758ca6219202c6e;;;%22	https://narisareehtml.vipodhasolution.com/assets/images/favicon.png	D:/WTF/YASHU/narisareehtml.vipodhasolution.com/assets/images/favicon.png	(from https://narisareehtml.vipodhasolution.com/)
22:09:28	155616/155616	---M-Z	200	added ('OK')	text/css	etag:%2225fe0-64992fde-94499c7a9cb602d4;gz%22	https://narisareehtml.vipodhasolution.com/assets/css/bootstrap.min.css	D:/WTF/YASHU/narisareehtml.vipodhasolution.com/assets/css/bootstrap.min.css	(from https://narisareehtml.vipodhasolution.com/)
22:09:28	3206/3206	---M-Z	200	added ('OK')	text/css	etag:%22c86-64992fde-5ae7e0974e113b1b;gz%22	https://narisareehtml.vipodhasolution.com/assets/css/owl.carousel.css	D:/WTF/YASHU/narisareehtml.vipodhasolution.com/assets/css/owl.carousel.css	(from https://narisareehtml.vipodhasolution.com/)
22:09:28	100782/100782	---M-Z	200	added ('OK')	text/css	etag:%22623a082a-4ef8%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.1/css/all.min.css	D:/WTF/YASHU/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.1.1/css/all.min.css	(from https://narisareehtml.vipodhasolution.com/)
22:09:28	2515/2515	---M-Z	200	added ('OK')	text/css	etag:%229d3-64992fde-9bec193c29676b12;gz%22	https://narisareehtml.vipodhasolution.com/assets/fonts/vipodha-font.css	D:/WTF/YASHU/narisareehtml.vipodhasolution.com/assets/fonts/vipodha-font.css	(from https://narisareehtml.vipodhasolution.com/)
22:09:29	77008/77008	---M-Z	200	added ('OK')	text/css	etag:%2212cd0-64992fde-ea9eb7003bf86c40;gz%22	https://narisareehtml.vipodhasolution.com/style.css	D:/WTF/YASHU/narisareehtml.vipodhasolution.com/style.css	(from https://narisareehtml.vipodhasolution.com/)
22:09:29	38654/38654	---M-Z	200	added ('OK')	text/css	etag:%2296fe-64992fde-caa44d10a056585f;gz%22	https://narisareehtml.vipodhasolution.com/assets/css/vipodha_megamenu.css	D:/WTF/YASHU/narisareehtml.vipodhasolution.com/assets/css/vipodha_megamenu.css	(from https://narisareehtml.vipodhasolution.com/)
22:09:29	375/375	---M--	200	added ('OK')	image/png	etag:%22177-64992fde-cc152d04d13e00b4;;;%22	https://narisareehtml.vipodhasolution.com/assets/images/en-gb.png	D:/WTF/YASHU/narisareehtml.vipodhasolution.com/assets/images/en-gb.png	(from https://narisareehtml.vipodhasolution.com/)
22:09:29	233/233	---M--	200	added ('OK')	image/png	etag:%22e9-64992fde-9b5443098abf527e;;;%22	https://narisareehtml.vipodhasolution.com/assets/images/ar.png	D:/WTF/YASHU/narisareehtml.vipodhasolution.com/assets/images/ar.png	(from https://narisareehtml.vipodhasolution.com/)
22:09:30	189381/189381	---M-Z	200	added ('OK')	text/html	etag:%222e3c5-649eb606-56c26cdc7970f918;gz%22	https://narisareehtml.vipodhasolution.com/index.html	D:/WTF/YASHU/narisareehtml.vipodhasolution.com/index-2.html	(from https://narisareehtml.vipodhasolution.com/)
22:09:30	10895/10895	---M--	200	added ('OK')	image/png	etag:%222a8f-64992fde-8ea3b8b08882a306;;;%22	https://narisareehtml.vipodhasolution.com/assets/images/logo.png	D:/WTF/YASHU/narisareehtml.vipodhasolution.com/assets/images/logo.png	(from https://narisareehtml.vipodhasolution.com/)
22:09:30	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-63d7e5b3-3fa4519c8b7f9799;gz%22	https://narisareehtml.vipodhasolution.com/shop.html	D:/WTF/YASHU/narisareehtml.vipodhasolution.com/shop.html	(from https://narisareehtml.vipodhasolution.com/)
22:09:30	61189/61189	---M-Z	200	added ('OK')	text/html	etag:%22ef05-649eb606-80b1b4a160adebe3;gz%22	https://narisareehtml.vipodhasolution.com/category.html	D:/WTF/YASHU/narisareehtml.vipodhasolution.com/category.html	(from https://narisareehtml.vipodhasolution.com/)
22:09:30	21522/21522	---M--	200	added ('OK')	image/png	etag:%225412-64992fde-1a42f0fb0b5a1706;;;%22	https://narisareehtml.vipodhasolution.com/assets/images/megamenu/1.png	D:/WTF/YASHU/narisareehtml.vipodhasolution.com/assets/images/megamenu/1.png	(from https://narisareehtml.vipodhasolution.com/)
22:09:31	63454/63454	---M--	200	added ('OK')	image/jpeg	etag:%22f7de-64992fde-337fe06bab09a018;;;%22	https://narisareehtml.vipodhasolution.com/assets/images/products/10.jpg	D:/WTF/YASHU/narisareehtml.vipodhasolution.com/assets/images/products/10.jpg	(from https://narisareehtml.vipodhasolution.com/)
22:09:31	76328/76328	---M-Z	200	added ('OK')	text/html	etag:%2212a28-649eb606-c09b34aa19c7b2d9;gz%22	https://narisareehtml.vipodhasolution.com/product.html	D:/WTF/YASHU/narisareehtml.vipodhasolution.com/product.html	(from https://narisareehtml.vipodhasolution.com/)
